exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,2,1,50,write,create/open,1562018221.200310,1562018221.207907,0.007597,0.000000
1,2,1,50,write,write/read,1562018221.207907,1562018224.424932,3.217025,10430269.127485
1,2,1,50,write,close,1562018224.424932,1562018224.424952,0.000020,0.000000
1,2,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,50,read,create/open,1562018224.673110,1562018224.711609,0.038499,0.000000
1,2,1,50,read,write/read,1562018224.711609,1562018224.928949,0.217339,154387335.882728
1,2,1,50,read,close,1562018224.928949,1562018226.163576,1.234627,0.000000
1,2,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,50,write,create/open,1562018228.950178,1562018228.957739,0.007561,0.000000
1,4,1,50,write,write/read,1562018228.957739,1562018231.454527,2.496788,13439041.710218
1,4,1,50,write,close,1562018231.454527,1562018231.454536,0.000009,0.000000
1,4,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,50,read,create/open,1562018231.713448,1562018231.727949,0.014501,0.000000
1,4,1,50,read,write/read,1562018231.727949,1562018231.958857,0.230908,145315057.997301
1,4,1,50,read,close,1562018231.958858,1562018232.754302,0.795444,0.000000
1,4,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,50,write,create/open,1562018233.564618,1562018233.571888,0.007270,0.000000
2,2,1,50,write,write/read,1562018233.571889,1562018236.487039,2.915150,11510362.361681
2,2,1,50,write,close,1562018236.487039,1562018236.487048,0.000009,0.000000
2,2,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,50,read,create/open,1562018236.554353,1562018236.592872,0.038520,0.000000
2,2,1,50,read,write/read,1562018236.592873,1562018236.819777,0.226904,147879475.504283
2,2,1,50,read,close,1562018236.819778,1562018238.195056,1.375279,0.000000
2,2,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,50,write,create/open,1562018243.131390,1562018243.138498,0.007107,0.000000
2,4,1,50,write,write/read,1562018243.138498,1562018245.685914,2.547415,13171950.970279
2,4,1,50,write,close,1562018245.685914,1562018245.685923,0.000009,0.000000
2,4,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,50,read,create/open,1562018246.045293,1562018246.061807,0.016514,0.000000
2,4,1,50,read,write/read,1562018246.061807,1562018246.298071,0.236264,142021074.829638
2,4,1,50,read,close,1562018246.298072,1562018247.168788,0.870716,0.000000
2,4,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,50,write,create/open,1562018257.177206,1562018257.184701,0.007495,0.000000
3,2,1,50,write,write/read,1562018257.184702,1562018259.320373,2.135672,15711419.187712
3,2,1,50,write,close,1562018259.320374,1562018259.320382,0.000008,0.000000
3,2,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,50,read,create/open,1562018260.009184,1562018260.044042,0.034858,0.000000
3,2,1,50,read,write/read,1562018260.044042,1562018260.272325,0.228282,146986471.191566
3,2,1,50,read,close,1562018260.272326,1562018261.608254,1.335929,0.000000
3,2,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,50,write,create/open,1562018252.654172,1562018252.661485,0.007313,0.000000
3,4,1,50,write,write/read,1562018252.661485,1562018255.201283,2.539798,13211458.103453
3,4,1,50,write,close,1562018255.201284,1562018255.201292,0.000008,0.000000
3,4,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,50,read,create/open,1562018255.460593,1562018255.483216,0.022624,0.000000
3,4,1,50,read,write/read,1562018255.483217,1562018255.706865,0.223649,150031808.883875
3,4,1,50,read,close,1562018255.706866,1562018256.342471,0.635605,0.000000
3,4,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,50,write,create/open,1562018266.459204,1562018266.465585,0.006381,0.000000
4,2,1,50,write,write/read,1562018266.465585,1562018269.073945,2.608359,12864190.729366
4,2,1,50,write,close,1562018269.073950,1562018269.073957,0.000008,0.000000
4,2,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,50,read,create/open,1562018269.332925,1562018269.348684,0.015759,0.000000
4,2,1,50,read,write/read,1562018269.348684,1562018269.554319,0.205635,163174656.294438
4,2,1,50,read,close,1562018269.554320,1562018269.698809,0.144489,0.000000
4,2,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,50,write,create/open,1562018261.851183,1562018261.860292,0.009109,0.000000
4,4,1,50,write,write/read,1562018261.860292,1562018264.374643,2.514350,13345169.316688
4,4,1,50,write,close,1562018264.374643,1562018264.374652,0.000009,0.000000
4,4,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,50,read,create/open,1562018264.684022,1562018264.704250,0.020229,0.000000
4,4,1,50,read,write/read,1562018264.704251,1562018264.921338,0.217087,154566728.083705
4,4,1,50,read,close,1562018264.921339,1562018265.749429,0.828091,0.000000
4,4,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
5,2,1,50,write,create/open,1562018278.298209,1562018278.307537,0.009329,0.000000
5,2,1,50,write,write/read,1562018278.307538,1562018280.553861,2.246323,14937491.347725
5,2,1,50,write,close,1562018280.553862,1562018280.553870,0.000008,0.000000
5,2,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
5,2,1,50,read,create/open,1562018281.364506,1562018281.392887,0.028380,0.000000
5,2,1,50,read,write/read,1562018281.392887,1562018281.631181,0.238294,140811273.462622
5,2,1,50,read,close,1562018281.631182,1562018283.030161,1.398979,0.000000
5,2,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
5,4,1,50,write,create/open,1562018283.230999,1562018283.238698,0.007698,0.000000
5,4,1,50,write,write/read,1562018283.238698,1562018285.895850,2.657153,12627965.489824
5,4,1,50,write,close,1562018285.895851,1562018285.895859,0.000008,0.000000
5,4,1,50,write,remove,0.000000,0.000000,0.000000,0.000000
5,4,1,50,read,create/open,1562018286.014044,1562018286.050796,0.036752,0.000000
5,4,1,50,read,write/read,1562018286.050797,1562018286.480387,0.429591,78107866.899759
5,4,1,50,read,close,1562018286.480389,1562018287.837785,1.357397,0.000000
5,4,1,50,read,remove,0.000000,0.000000,0.000000,0.000000
