exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,2,1,62,write,create/open,1562022589.778205,1562022589.786977,0.008772,0.000000
1,2,1,62,write,write/read,1562022589.786977,1562022592.067622,2.280645,14712696.220819
1,2,1,62,write,close,1562022592.067623,1562022592.067632,0.000009,0.000000
1,2,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,62,read,create/open,1562022592.108279,1562022592.125078,0.016799,0.000000
1,2,1,62,read,write/read,1562022592.125078,1562022592.357305,0.232227,144489890.819921
1,2,1,62,read,close,1562022592.357306,1562022592.360464,0.003158,0.000000
1,2,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,62,write,create/open,1562022585.293505,1562022585.300909,0.007404,0.000000
1,4,1,62,write,write/read,1562022585.300909,1562022588.100290,2.799381,11986377.525450
1,4,1,62,write,close,1562022588.100290,1562022588.100311,0.000021,0.000000
1,4,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,62,read,create/open,1562022588.130885,1562022588.165732,0.034847,0.000000
1,4,1,62,read,write/read,1562022588.165732,1562022588.388875,0.223143,150371649.571740
1,4,1,62,read,close,1562022588.388876,1562022588.391786,0.002910,0.000000
1,4,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,62,write,create/open,1562022595.396052,1562022595.402384,0.006332,0.000000
2,2,1,62,write,write/read,1562022595.402385,1562022597.434562,2.032177,16511569.844381
2,2,1,62,write,close,1562022597.434563,1562022597.434573,0.000010,0.000000
2,2,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,62,read,create/open,1562022597.777155,1562022597.799003,0.021848,0.000000
2,2,1,62,read,write/read,1562022597.799003,1562022598.019376,0.220373,152261885.981495
2,2,1,62,read,close,1562022598.019377,1562022598.023496,0.004119,0.000000
2,2,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,62,write,create/open,1562022592.400309,1562022592.407989,0.007679,0.000000
2,4,1,62,write,write/read,1562022592.407989,1562022594.908007,2.500018,13421674.240724
2,4,1,62,write,close,1562022594.908008,1562022594.908016,0.000008,0.000000
2,4,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,62,read,create/open,1562022594.921704,1562022594.946502,0.024798,0.000000
2,4,1,62,read,write/read,1562022594.946503,1562022595.160409,0.213906,156865278.203237
2,4,1,62,read,close,1562022595.160409,1562022595.165587,0.005178,0.000000
2,4,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,62,write,create/open,1562022603.456159,1562022603.463486,0.007326,0.000000
3,2,1,62,write,write/read,1562022603.463486,1562022605.854026,2.390539,14036343.384049
3,2,1,62,write,close,1562022605.854027,1562022605.854034,0.000008,0.000000
3,2,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,62,read,create/open,1562022605.870193,1562022605.901412,0.031219,0.000000
3,2,1,62,read,write/read,1562022605.901412,1562022606.134728,0.233316,143815132.184067
3,2,1,62,read,close,1562022606.134729,1562022606.136299,0.001570,0.000000
3,2,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,62,write,create/open,1562022606.175877,1562022606.184120,0.008243,0.000000
3,4,1,62,write,write/read,1562022606.184120,1562022608.619659,2.435539,13777004.556686
3,4,1,62,write,close,1562022608.619660,1562022608.619668,0.000008,0.000000
3,4,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,62,read,create/open,1562022608.622533,1562022608.656762,0.034229,0.000000
3,4,1,62,read,write/read,1562022608.656763,1562022608.879110,0.222348,150909708.142373
3,4,1,62,read,close,1562022608.879111,1562022608.879895,0.000784,0.000000
3,4,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,62,write,create/open,1562022613.296886,1562022613.309699,0.012813,0.000000
4,2,1,62,write,write/read,1562022613.309699,1562022615.525294,2.215595,15144662.772931
4,2,1,62,write,close,1562022615.525295,1562022615.525302,0.000008,0.000000
4,2,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,62,read,create/open,1562022615.528563,1562022615.569665,0.041102,0.000000
4,2,1,62,read,write/read,1562022615.569666,1562022615.983850,0.414185,81013235.173593
4,2,1,62,read,close,1562022615.983851,1562022615.984703,0.000851,0.000000
4,2,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,62,write,create/open,1562022610.393328,1562022610.399487,0.006159,0.000000
4,4,1,62,write,write/read,1562022610.399488,1562022612.799513,2.400025,13980865.557118
4,4,1,62,write,close,1562022612.799514,1562022612.799522,0.000008,0.000000
4,4,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,62,read,create/open,1562022612.824992,1562022612.843209,0.018217,0.000000
4,4,1,62,read,write/read,1562022612.843209,1562022613.073655,0.230445,145606873.416110
4,4,1,62,read,close,1562022613.073655,1562022613.077766,0.004111,0.000000
4,4,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
5,2,1,62,write,create/open,1562022623.029588,1562022623.034851,0.005263,0.000000
5,2,1,62,write,write/read,1562022623.034851,1562022625.061689,2.026838,16555066.971973
5,2,1,62,write,close,1562022625.061689,1562022625.061697,0.000008,0.000000
5,2,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
5,2,1,62,read,create/open,1562022625.167727,1562022625.190134,0.022407,0.000000
5,2,1,62,read,write/read,1562022625.190134,1562022625.398893,0.208759,160732627.176026
5,2,1,62,read,close,1562022625.398894,1562022625.403319,0.004425,0.000000
5,2,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
5,4,1,62,write,create/open,1562022617.317084,1562022617.324937,0.007853,0.000000
5,4,1,62,write,write/read,1562022617.324937,1562022619.641648,2.316710,14483655.103720
5,4,1,62,write,close,1562022619.641649,1562022619.641658,0.000010,0.000000
5,4,1,62,write,remove,0.000000,0.000000,0.000000,0.000000
5,4,1,62,read,create/open,1562022619.747003,1562022619.767316,0.020313,0.000000
5,4,1,62,read,write/read,1562022619.767316,1562022619.997410,0.230093,145829565.109833
5,4,1,62,read,close,1562022619.997411,1562022620.000237,0.002826,0.000000
5,4,1,62,read,remove,0.000000,0.000000,0.000000,0.000000
