exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,2,1,48,write,create/open,1562026250.178751,1562026250.214035,0.035284,0.000000
1,2,1,48,write,write/read,1562026250.214036,1562026251.166783,0.952747,35218604.572476
1,2,1,48,write,close,1562026251.166784,1562026251.166806,0.000023,0.000000
1,2,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,48,read,create/open,1562026251.169286,1562026251.191890,0.022604,0.000000
1,2,1,48,read,write/read,1562026251.191891,1562026251.391071,0.199180,168462952.637446
1,2,1,48,read,close,1562026251.391072,1562026251.393313,0.002241,0.000000
1,2,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,48,write,create/open,1562026252.698211,1562026252.706224,0.008013,0.000000
1,4,1,48,write,write/read,1562026252.706224,1562026253.567219,0.860995,38971711.181993
1,4,1,48,write,close,1562026253.567220,1562026253.567230,0.000010,0.000000
1,4,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,48,read,create/open,1562026253.597797,1562026253.613317,0.015520,0.000000
1,4,1,48,read,write/read,1562026253.613317,1562026253.842110,0.228793,146658533.321101
1,4,1,48,read,close,1562026253.842112,1562026253.848929,0.006818,0.000000
1,4,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,48,write,create/open,1562026256.055902,1562026256.061928,0.006026,0.000000
2,2,1,48,write,write/read,1562026256.061929,1562026256.944224,0.882296,38030817.119234
2,2,1,48,write,close,1562026256.944225,1562026256.944234,0.000009,0.000000
2,2,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,48,read,create/open,1562026256.953732,1562026256.991366,0.037634,0.000000
2,2,1,48,read,write/read,1562026256.991366,1562026257.404742,0.413376,81171773.794285
2,2,1,48,read,close,1562026257.404743,1562026257.406178,0.001436,0.000000
2,2,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,48,write,create/open,1562026254.078264,1562026254.085596,0.007332,0.000000
2,4,1,48,write,write/read,1562026254.085596,1562026254.959272,0.873676,38406033.395706
2,4,1,48,write,close,1562026254.959273,1562026254.959282,0.000009,0.000000
2,4,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,48,read,create/open,1562026254.974465,1562026255.007791,0.033327,0.000000
2,4,1,48,read,write/read,1562026255.007792,1562026255.221453,0.213661,157045396.409258
2,4,1,48,read,close,1562026255.221454,1562026255.222694,0.001240,0.000000
2,4,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,48,write,create/open,1562026260.751445,1562026260.760163,0.008718,0.000000
3,2,1,48,write,write/read,1562026260.760163,1562026261.616731,0.856568,39173104.947141
3,2,1,48,write,close,1562026261.616732,1562026261.616742,0.000010,0.000000
3,2,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,48,read,create/open,1562026261.666841,1562026261.682945,0.016104,0.000000
3,2,1,48,read,write/read,1562026261.682945,1562026261.907217,0.224272,149615205.823263
3,2,1,48,read,close,1562026261.907218,1562026261.908396,0.001179,0.000000
3,2,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,48,write,create/open,1562026258.271699,1562026258.280182,0.008483,0.000000
3,4,1,48,write,write/read,1562026258.280183,1562026259.199393,0.919210,36503536.905524
3,4,1,48,write,close,1562026259.199394,1562026259.199404,0.000010,0.000000
3,4,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,48,read,create/open,1562026259.202221,1562026259.233464,0.031242,0.000000
3,4,1,48,read,write/read,1562026259.233464,1562026259.467996,0.234532,143069812.437687
3,4,1,48,read,close,1562026259.467998,1562026259.472417,0.004419,0.000000
3,4,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,48,write,create/open,1562026264.550385,1562026264.558495,0.008109,0.000000
4,2,1,48,write,write/read,1562026264.558495,1562026265.461096,0.902601,37175265.554135
4,2,1,48,write,close,1562026265.461097,1562026265.461106,0.000010,0.000000
4,2,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,48,read,create/open,1562026265.461917,1562026265.499634,0.037716,0.000000
4,2,1,48,read,write/read,1562026265.499634,1562026265.705377,0.205743,163088998.718728
4,2,1,48,read,close,1562026265.705379,1562026265.706477,0.001099,0.000000
4,2,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,48,write,create/open,1562026263.154087,1562026263.161705,0.007618,0.000000
4,4,1,48,write,write/read,1562026263.161705,1562026264.059614,0.897909,37369517.239919
4,4,1,48,write,close,1562026264.059616,1562026264.059625,0.000010,0.000000
4,4,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,48,read,create/open,1562026264.068029,1562026264.089691,0.021662,0.000000
4,4,1,48,read,write/read,1562026264.089692,1562026264.306278,0.216586,154924037.382479
4,4,1,48,read,close,1562026264.306279,1562026264.310532,0.004253,0.000000
4,4,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
5,2,1,48,write,create/open,1562026268.545060,1562026268.550558,0.005498,0.000000
5,2,1,48,write,write/read,1562026268.550558,1562026269.428878,0.878320,38202970.230883
5,2,1,48,write,close,1562026269.428879,1562026269.428888,0.000009,0.000000
5,2,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
5,2,1,48,read,create/open,1562026269.442425,1562026269.474700,0.032274,0.000000
5,2,1,48,read,write/read,1562026269.474700,1562026269.677422,0.202722,165519575.803330
5,2,1,48,read,close,1562026269.677423,1562026269.680380,0.002957,0.000000
5,2,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
5,4,1,48,write,create/open,1562026266.559910,1562026266.565504,0.005593,0.000000
5,4,1,48,write,write/read,1562026266.565504,1562026267.391566,0.826062,40619751.859894
5,4,1,48,write,close,1562026267.391567,1562026267.391577,0.000010,0.000000
5,4,1,48,write,remove,0.000000,0.000000,0.000000,0.000000
5,4,1,48,read,create/open,1562026267.449170,1562026267.464305,0.015135,0.000000
5,4,1,48,read,write/read,1562026267.464306,1562026267.668614,0.204308,164234712.975437
5,4,1,48,read,close,1562026267.668615,1562026267.674649,0.006034,0.000000
5,4,1,48,read,remove,0.000000,0.000000,0.000000,0.000000
